t_step,V1,V27
0,0.067662231,0.067662231
86400,0.068348897,0.068348897
172800,0.070126118,0.070126118
259200,0.074252303,0.074252303
345600,0.08302885,0.08302885
432000,0.100397141,0.100397141
518400,0.132747577,0.132747577
604800,0.067350109,0.067350109
691200,0.067350109,0.067350109
777600,0.067350113,0.067350113
864000,0.067350234,0.067350234
950400,0.067351667,0.067351667
1036800,0.067361021,0.067361021
1123200,0.067403186,0.067403186
1209600,0.067550677,0.067550677
1296000,0.06797976,0.06797976
1382400,0.069064622,0.069064622
1468800,0.071520088,0.071520088
1555200,0.076599866,0.076599866
1641600,0.086350676,0.086350676
1728000,0.103912057,0.103912057
1814400,0.067350109,0.067350109
1900800,0.067350109,0.067350109
1987200,0.067350111,0.067350111
2073600,0.067350169,0.067350169
2160000,0.06735083,0.06735083
2246400,0.067354902,0.067354902
2332800,0.067372063,0.067372063
2419200,0.06742753,0.06742753
2505600,0.067574226,0.067574226
2592000,0.067904026,0.067904026
2678400,0.068546848,0.068546848
2764800,0.069636248,0.069636248
2851200,0.07120598,0.07120598
2937600,0.072963259,0.072963259
3024000,0.067350109,0.067350109
3110400,0.067350109,0.067350109
3196800,0.067350109,0.067350109
3283200,0.067350105,0.067350105
3369600,0.067350028,0.067350028
3456000,0.067349277,0.067349277
3542400,0.067344707,0.067344707
3628800,0.067324125,0.067324125
3715200,0.067249504,0.067249504
3801600,0.067019526,0.067019526
3888000,0.066394803,0.066394803
3974400,0.064860687,0.064860687
4060800,0.061391743,0.061391743
4147200,0.054068639,0.054068639
4233600,0.067350109,0.067350109
4320000,0.067350109,0.067350109
4406400,0.067350107,0.067350107
4492800,0.06735007,0.06735007
4579200,0.067349577,0.067349577
4665600,0.067346016,0.067346016
4752000,0.067328255,0.067328255
4838400,0.067259571,0.067259571
4924800,0.067038713,0.067038713
5011200,0.066421348,0.066421348
5097600,0.064875292,0.064875292
5184000,0.061331864,0.061331864
5270400,0.053782,0.053782
5356800,0.038649514,0.038649514
5443200,0.067350109,0.067350109
5529600,0.067350109,0.067350109
5616000,0.067350107,0.067350107
5702400,0.067350037,0.067350037
5788800,0.067349157,0.067349157
5875200,0.067342988,0.067342988
5961600,0.067313064,0.067313064
6048000,0.067200251,0.067200251
6134400,0.066845921,0.066845921
6220800,0.06587685,0.06587685
6307200,0.063498824,0.063498824
6393600,0.058150896,0.058150896
6480000,0.046956492,0.046956492
6566400,0.02488928,0.02488928
6652800,0.067350109,0.067350109
6739200,0.067350109,0.067350109
6825600,0.067350107,0.067350107
6912000,0.067350008,0.067350008
6998400,0.067348794,0.067348794
7084800,0.067340374,0.067340374
7171200,0.067300017,0.067300017
7257600,0.067149591,0.067149591
7344000,0.06668227,0.06668227
7430400,0.065417509,0.065417509
7516800,0.062344959,0.062344959
7603200,0.055501642,0.055501642
7689600,0.041309733,0.041309733
7776000,0.013583279,0.013583279
7862400,0.067350109,0.067350109
7948800,0.067350109,0.067350109
8035200,0.067350105,0.067350105
8121600,0.067349985,0.067349985
8208000,0.067348506,0.067348506
8294400,0.06733832,0.06733832
8380800,0.067289862,0.067289862
8467200,0.067110522,0.067110522
8553600,0.066557223,0.066557223
8640000,0.065069869,0.065069869
8726400,0.061480392,0.061480392
8812800,0.053537227,0.053537227
8899200,0.037168105,0.037168105
8985600,0.005384994,0.005384994
9072000,0.067350109,0.067350109
9158400,0.067350109,0.067350109
9244800,0.067350105,0.067350105
9331200,0.06734997,0.06734997
9417600,0.067348309,0.067348309
9504000,0.06733695,0.06733695
9590400,0.067283192,0.067283192
9676800,0.0670853,0.0670853
9763200,0.066478001,0.066478001
9849600,0.064854028,0.064854028
9936000,0.060955095,0.060955095
10022400,0.052371195,0.052371195
10108800,0.034770994,0.034770994
10195200,0.000768285,0.000768285
10281600,0.067350109,0.067350109
10368000,0.067350109,0.067350109
10454400,0.067350105,0.067350105
10540800,0.067349962,0.067349962
10627200,0.067348218,0.067348218
10713600,0.067336339,0.067336339
10800000,0.067280389,0.067280389
10886400,0.067075385,0.067075385
10972800,0.066449189,0.066449189
11059200,0.064782462,0.064782462
11145600,0.060799427,0.060799427
11232000,0.052070944,0.052070944
11318400,0.034256952,0.034256952
11404800,0,0
11491200,0.067350109,0.067350109
11577600,0.067350109,0.067350109
11664000,0.067350105,0.067350105
11750400,0.067349964,0.067349964
11836800,0.067348235,0.067348235
11923200,0.067336524,0.067336524
12009600,0.067281616,0.067281616
12096000,0.067081348,0.067081348
12182400,0.066472449,0.066472449
12268800,0.064859305,0.064859305
12355200,0.061022389,0.061022389
12441600,0.052653826,0.052653826
12528000,0.03565569,0.03565569
12614400,0.003124544,0.003124544
12700800,0.067350109,0.067350109
12787200,0.067350109,0.067350109
12873600,0.067350105,0.067350105
12960000,0.067349971,0.067349971
13046400,0.067348361,0.067348361
13132800,0.067337495,0.067337495
13219200,0.067286802,0.067286802
13305600,0.067102846,0.067102846
13392000,0.066546438,0.066546438
13478400,0.065080114,0.065080114
13564800,0.061611093,0.061611093
13651200,0.054086152,0.054086152
13737600,0.038886363,0.038886363
13824000,0.009961318,0.009961318
13910400,0.067350109,0.067350109
13996800,0.067350109,0.067350109
14083200,0.067350105,0.067350105
14169600,0.067349989,0.067349989
14256000,0.067348589,0.067348589
14342400,0.067339194,0.067339194
14428800,0.067295645,0.067295645
14515200,0.067138636,0.067138636
14601600,0.066666878,0.066666878
14688000,0.065432129,0.065432129
14774400,0.062531511,0.062531511
14860800,0.056285133,0.056285133
14947200,0.043762239,0.043762239
15033600,0.02011516,0.02011516
15120000,0.067350109,0.067350109
15206400,0.067350109,0.067350109
15292800,0.067350107,0.067350107
15379200,0.067350014,0.067350014
15465600,0.067348902,0.067348902
15552000,0.067341526,0.067341526
15638400,0.067307639,0.067307639
15724800,0.067186649,0.067186649
15811200,0.066826811,0.066826811
15897600,0.065895005,0.065895005
15984000,0.063730443,0.063730443
16070400,0.059123668,0.059123668
16156800,0.05000149,0.05000149
16243200,0.032999176,0.032999176
16329600,0.067350109,0.067350109
16416000,0.067350109,0.067350109
16502400,0.067350107,0.067350107
16588800,0.067350043,0.067350043
16675200,0.067349287,0.067349287
16761600,0.067344353,0.067344353
16848000,0.067322085,0.067322085
16934400,0.067244109,0.067244109
17020800,0.067016989,0.067016989
17107200,0.066441985,0.066441985
17193600,0.065138591,0.065138591
17280000,0.062437693,0.062437693
17366400,0.05724349,0.05724349
17452800,0.047868672,0.047868672
17539200,0.067350109,0.067350109
17625600,0.067350109,0.067350109
17712000,0.067350109,0.067350109
17798400,0.067350076,0.067350076
17884800,0.06734972,0.06734972
17971200,0.067347512,0.067347512
18057600,0.067338152,0.067338152
18144000,0.067307697,0.067307697
18230400,0.067226422,0.067226422
18316800,0.067041455,0.067041455
18403200,0.066674566,0.066674566
18489600,0.066035653,0.066035653
18576000,0.065069652,0.065069652
18662400,0.063864193,0.063864193
18748800,0.067350109,0.067350109
18835200,0.067350109,0.067350109
18921600,0.067350109,0.067350109
19008000,0.067350115,0.067350115
19094400,0.067350234,0.067350234
19180800,0.067351485,0.067351485
19267200,0.067359387,0.067359387
19353600,0.067395757,0.067395757
19440000,0.067529583,0.067529583
19526400,0.067946437,0.067946437
19612800,0.06908792,0.06908792
19699200,0.071908675,0.071908675
19785600,0.078319189,0.078319189
19872000,0.091908216,0.091908216
19958400,0.067350109,0.067350109
20044800,0.067350109,0.067350109
20131200,0.067350111,0.067350111
20217600,0.067350182,0.067350182
20304000,0.067351106,0.067351106
20390400,0.0673578,0.0673578
20476800,0.067391227,0.067391227
20563200,0.067520707,0.067520707
20649600,0.067937649,0.067937649
20736000,0.069104625,0.069104625
20822400,0.072030447,0.072030447
20908800,0.078743314,0.078743314
20995200,0.093060153,0.093060153
21081600,0.121781732,0.121781732
21168000,0.067350109,0.067350109
21254400,0.067350109,0.067350109
21340800,0.067350113,0.067350113
21427200,0.067350244,0.067350244
21513600,0.067351918,0.067351918
21600000,0.067363668,0.067363668
21686400,0.067420691,0.067420691
21772800,0.067635797,0.067635797
21859200,0.068311756,0.068311756
21945600,0.070161401,0.070161401
22032000,0.074702454,0.074702454
22118400,0.084919426,0.084919426
22204800,0.106315078,0.106315078
22291200,0.148509105,0.148509105
22377600,0.067350109,0.067350109
22464000,0.067350109,0.067350109
22550400,0.067350115,0.067350115
