plant	time	x	y	r_ag	h_ag	r_bg	h_bg	aboveground_resources	belowground_resources	res_ag	res_bg	res_eff	grow	maint	volume	age	salinity	transpiration
Saltmarsh_1_000007301	158112000.0	1.9576057730814005	0.08586782246262303	0.05326085178252693	0.10652170356505386	0.05743080931253637	0.11486161862507274	0.5	0.06121543701738119	511632.05627168476	74511.33661728071	74511.33661728071	0.00010946593864430372	0.0002630907444420999	0.002139487114895076	1209600.0	0.109339396	0.0027727753009040186
Saltmarsh_1_000007302	158112000.0	0.24936654197855068	0.16745176321430288	0.06149862532364143	0.12299725064728285	0.07317727995092008	0.14635455990184015	1.0	0.0979446992278099	1297361.2780629578	192567.35353683552	192567.35353683552	0.0005219967131316239	0.0004408400545525537	0.003923540343938366	1209600.0	0.109339396	0.005084908285744123
Saltmarsh_1_000007304	158112000.0	0.03477635112771349	1.1367456825174596	0.061158788630802666	0.12231757726160533	0.07272377912661394	0.1454475582532279	1.0	0.08815022930502892	1300773.5230716388	174514.79726135547	174514.79726135547	0.000428655185758351	0.00044391880054842645	0.003853954572706088	1209600.0	0.109339396	0.00499472512622709
Saltmarsh_1_000007305	158112000.0	0.15444942233813896	0.1536031320297202	0.054527141178627246	0.10905428235725449	0.060507822379058156	0.12101564475811631	1.0	0.04489132047941287	1095912.322173867	64669.317907083074	64669.317907083074	1.2567506863345732e-05	0.00031077908267206967	0.0024105542558762296	1123200.0	0.109339396	0.0031240783156155937
Saltmarsh_1_000007309	158112000.0	1.739120094626742	1.2808456060326745	0.0527445099655741	0.1054890199311482	0.055861333025029915	0.11172266605005983	0.3333333333333333	0.06529646615187326	332388.4339855331	73692.16867630676	73692.16867630676	0.0001229668930549281	0.0002454939503266057	0.002017210336933059	1036800.0	0.109339396	0.0026143045966652446
Saltmarsh_1_000007310	158112000.0	1.2011030705783659	0.7543302610255516	0.05813604438305191	0.11627208876610381	0.06711490943387877	0.13422981886775753	0.75	0.06121543701738119	914651.3142834269	107136.52019787884	107136.52019787884	0.00014879167755149387	0.00038689092343790034	0.0031340611485229488	1036800.0	0.109339396	0.004061743248485742
Saltmarsh_1_000007313	158112000.0	0.7287465985055706	1.0768403957963364	0.05040745094455246	0.10081490188910491	0.05204930872605605	0.1040986174521121	0.6666666666666666	0.04081029134492079	628654.9469812155	41889.19524233212	41889.19524233212	-1.1113968736987966e-05	0.00022055994494864857	0.0016907374583359188	950400.0	0.109339396	0.0021911957460033506
Saltmarsh_1_000007314	158112000.0	1.1112500390772295	0.6033193999159836	0.05922615861505197	0.11845231723010394	0.06928459774043298	0.13856919548086596	1.0	0.07345852442085743	1245299.821757217	134307.62909385443	134307.62909385443	0.0002660137921402483	0.0004055243533290238	0.003395059728320989	950400.0	0.109339396	0.0043999974079040015
Saltmarsh_1_000007315	158112000.0	1.7336718433145395	1.040486887710322	0.05410881255677134	0.10821762511354267	0.059429830651788175	0.11885966130357635	0.6666666666666666	0.05713440788288911	707964.769780189	76206.87859892451	76206.87859892451	9.318990046151322e-05	0.00028784449253310934	0.0023142122193898266	950400.0	0.109339396	0.0029992190363292153
Saltmarsh_1_000007318	158112000.0	1.870645254152916	1.5190700443610274	0.05360117249692043	0.10720234499384086	0.058102900445084184	0.11620580089016837	0.6666666666666666	0.05223717292149862	699615.5104458513	66937.45756002213	66937.45756002213	5.6936295790962685e-05	0.00027775099200914795	0.00220007666623192	864000.0	0.109339396	0.0028512993594365685
