plant	time	x	y	r_ag	h_ag	r_bg	h_bg	aboveground_resources	belowground_resources	res_ag	res_bg	res_eff	grow	maint	volume	age	salinity	transpiration
Saltmarsh_1_000004177	158112000.0	0.7973197562176331	0.7121548558407269	0.6512674441351338	1.3025348882702676	0.7271653696280714	1.4543307392561429	1.0	0.5111285388021541	156737602.53217548	107330746.18393527	107330746.18393527	-0.0015916020214887805	0.5382453329411652	4.151535966968983	68688000.0	0.035	5.3803906131918025
Saltmarsh_1_000006561	158112000.0	0.9419534338191164	1.9804243140263043	0.4956589974074674	0.9913179948149348	0.5140050871082537	1.0280101742165073	0.6234567901234568	0.4497673653094704	56229805.71874207	44665996.442554794	44665996.442554794	0.015611107782847716	0.20771887442992626	1.6183802006063532	17193600.0	0.035	2.0974207399858336
Saltmarsh_1_000006596	158112000.0	0.6810352112173534	0.0480638641882849	0.22003033210120748	0.44006066420241496	0.19991324014331785	0.3998264802866357	0.15384615384615385	0.32789237330658266	2772251.131358579	4586110.232332347	2772251.131358579	-0.0015153247406424503	0.015376580397435344	0.11713112894327224	16502400.0	0.035	0.15180194311048084
Saltmarsh_1_000007066	158112000.0	1.4188103609538778	0.29265759933744717	0.4930768456284674	0.9861536912569348	0.5217571334958943	1.0435142669917885	0.624031007751938	0.4565946430985863	55452793.053295545	47169141.5650618	47169141.5650618	0.025926183744571812	0.2099195240807372	1.6456755979477906	6307200.0	0.035	2.1327955749403364
Saltmarsh_1_000007111	158112000.0	0.041418756885274854	0.6510061241383938	0.13835782993762522	0.27671565987525043	0.1540944484635861	0.3081888969271722	0.1111111111111111	0.2973907571850401	805662.7223893389	2844464.989210607	805662.7223893389	-0.0012729030579884263	0.0053012166699351205	0.0396315465557085	5356800.0	0.035	0.05136248433619821
Saltmarsh_1_000007170	158112000.0	1.912182230236228	0.6128561142285576	0.36146225725689185	0.7229245145137837	0.35441243497405034	0.7088248699481007	0.330188679245283	0.41410385867924365	15839413.447454268	18855775.21454174	15839413.447454268	0.005158438231608331	0.074038629005663	0.576444155867897	4060800.0	0.035	0.7470716260047945
Saltmarsh_1_000007310	158112000.0	0.9444362128432886	0.030294741964815186	0.12887538848579583	0.25775077697159166	0.12451766885848158	0.24903533771696315	0.25	0.28938408295313517	1369502.964312742	1438800.2282834938	1369502.964312742	0.004058402566690358	0.0027891122548733523	0.025579330459231657	1036800.0	0.035	0.033150812275164226
Saltmarsh_1_000007331	158112000.0	0.6937943434415352	1.4199636056252192	0.10578309165201621	0.21156618330403243	0.1049586735216214	0.2099173470432428	0.25	0.29357805516984725	887946.8807208868	1033985.0981496146	887946.8807208868	0.0029116364345543226	0.0015280979690501112	0.014702515825373083	604800.0	0.035	0.019054460509683516
Saltmarsh_1_000007357	158112000.0	0.4672638467948673	0.6439259692122603	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Saltmarsh_1_000007358	158112000.0	0.7212569358478307	1.981720586059156	0.05	0.1	0.05	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
