xml_file,log_file,start_time,end_time,duration_sec,exit_code,status
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_dynamic_105_V1_06.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_dynamic_105_V1_06.log,2026-06-05T17:51:46.605534,2026-06-05T17:53:57.094678,130.489144,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_dynamic_105_V1_05.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_dynamic_105_V1_05.log,2026-06-05T17:51:46.605534,2026-06-05T17:53:57.765136,131.159602,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_dynamic_105_V1_01.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_dynamic_105_V1_01.log,2026-06-05T17:51:46.605534,2026-06-05T17:53:57.931444,131.32591,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_dynamic_105_V1_03.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_dynamic_105_V1_03.log,2026-06-05T17:51:46.605534,2026-06-05T17:53:58.055418,131.449884,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_dynamic_105_V1_02.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_dynamic_105_V1_02.log,2026-06-05T17:51:46.605534,2026-06-05T17:53:58.248419,131.642885,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_dynamic_105_V1_04.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_dynamic_105_V1_04.log,2026-06-05T17:51:46.605534,2026-06-05T17:53:58.511340,131.905806,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_dynamic_105_V1_07.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_dynamic_105_V1_07.log,2026-06-05T17:53:57.097643,2026-06-05T17:56:21.059627,143.961984,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_dynamic_105_V1_08.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_dynamic_105_V1_08.log,2026-06-05T17:53:57.768207,2026-06-05T17:56:21.293060,143.524853,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_dynamic_105_V1_10.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_dynamic_105_V1_10.log,2026-06-05T17:53:58.059111,2026-06-05T17:56:21.308475,143.249364,0,OK
C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_model_input\xml_control_files\community_dynamic_105_V1_09.xml,C:\Users\Jonas\Documents\MASCOT\SourceCode\data_and_results\data_raw\logs\community_dynamic_105_V1_09.log,2026-06-05T17:53:57.935416,2026-06-05T17:56:21.425691,143.490275,0,OK
