plant	time	x	y	r_ag	h_ag	r_bg	h_bg	aboveground_resources	belowground_resources	res_ag	res_bg	res_eff	grow	maint	volume	age	salinity	transpiration
Saltmarsh_1_000006655	158112000.0	0.08451916564065054	1.1962751865419343	0.2923049929481821	0.5846099858963641	0.4396482528730396	0.8792965057460792	1.0	0.210427857293023	31214498.381481007	19250813.36562306	19250813.36562306	0.007717805168902261	0.08853626165921305	0.6908679722924597	123033600.0	0.07	0.8953648920910277
Saltmarsh_1_000008861	158112000.0	0.44975692942878265	1.9117082302669943	0.25476311493708953	0.5095262298741791	0.4223338837677011	0.8446677675354022	1.0	0.16242174518425107	24157406.890359715	14552167.868599538	14552167.868599538	-0.0023495489905314	0.0751103883335291	0.5772059165459585	111110400.0	0.07	0.7480588678435622
Saltmarsh_1_000014112	158112000.0	0.11323848551794558	0.618118619891491	0.26623671923873865	0.5324734384774773	0.4027842007951405	0.805568401590281	1.0	0.1753077716146614	26243751.93119978	13577323.706076263	13577323.706076263	-0.000794414188618961	0.06868103271900028	0.529151825927124	82771200.0	0.07	0.6857807664015527
Saltmarsh_1_000014740	158112000.0	0.4791259421485947	0.18625471757659118	0.2809697343584242	0.5619394687168484	0.390228125749337	0.780456251498674	1.0	0.19225768869453005	29161761.89085744	13296903.568482613	13296903.568482613	3.93980396119209e-05	0.06644511980280114	0.5127332236785097	79315200.0	0.07	0.6645022578873486
Saltmarsh_1_000016532	158112000.0	0.4874913635308844	0.995059214022278	0.21506689914521712	0.43013379829043424	0.3112854140757616	0.6225708281515232	0.9310344827586207	0.14436044967022996	15919899.209667569	6509462.432063348	6509462.432063348	-0.0001320401014188663	0.03267935226173561	0.2520234557453065	69638400.0	0.07	0.3266223986459172
Saltmarsh_1_000016790	158112000.0	1.136539349730591	0.3225403892009555	0.23674770935075534	0.4734954187015107	0.31193660678593355	0.6238732135718671	0.7536231884057971	0.16678665703743378	15595703.804548863	7140040.277306136	7140040.277306136	0.0002050113571097148	0.03549519002942096	0.27408765047301226	68256000.0	0.07	0.35521759501302386
Saltmarsh_1_000019069	158112000.0	1.4200532312470044	1.2484253362299274	0.2837679819810249	0.5675359639620497	0.3813542655877625	0.762708531175525	1.0	0.21929024709812717	29389052.279805508	14078169.403191347	14078169.403191347	0.0076081803936847575	0.06278266662227197	0.49204233642973383	55987200.0	0.07	0.6376868680129351
Saltmarsh_1_000019578	158112000.0	1.5553396386861313	0.8936155804525583	0.2184714642040731	0.4369429284081462	0.26448324302624604	0.5289664860524921	0.5	0.15921534776918653	8830107.540247634	4657293.377643894	4657293.377643894	-0.000310301866354383	0.023596768754573855	0.1817635311164686	53222400.0	0.07	0.2355655363269433
Saltmarsh_1_000020144	158112000.0	1.3279513042281312	1.9190876106886794	0.26931560085215167	0.5386312017043033	0.345170657880632	0.690341315761264	0.96875	0.1919590392260141	25952119.847385015	9897369.411490507	9897369.411490507	0.0001065589708468262	0.04938028808660571	0.38112730037984155	50198400.0	0.07	0.49394098129227465
Saltmarsh_1_000020642	158112000.0	0.47161969321733155	0.48478786154167364	0.18535751698742467	0.37071503397484934	0.2250761956539027	0.4501523913078054	0.38095238095238093	0.13727462540070218	4832355.742454328	2910091.18101124	2910091.18101124	9.172519864382445e-05	0.014458730706412376	0.1116560053407146	47433600.0	0.07	0.14470618292156612
Saltmarsh_1_000021184	158112000.0	0.7115116483030488	0.9290207424703918	0.20011313676550066	0.4002262735310013	0.24481379672679757	0.48962759345359513	0.3137254901960784	0.14406347960233687	4651628.871697166	3635101.8921739864	3635101.8921739864	-0.0003422391739976438	0.018517748634867576	0.1425416237493633	44582400.0	0.07	0.18473394437917484
Saltmarsh_1_000021715	158112000.0	1.9096402506832055	1.1466055718751664	0.2760663157359621	0.5521326314719242	0.34317228469190403	0.6863445693838081	0.9545454545454546	0.1998204538235963	26879200.675075706	9997124.792182716	9997124.792182716	-6.498688820501253e-05	0.05005061084911859	0.38612799805869774	41644800.0	0.07	0.5004218854840723
Saltmarsh_1_000021866	158112000.0	0.7482729975620248	0.31909316123332077	0.19757118130498608	0.39514236260997215	0.22684409658581978	0.45368819317163955	0.30612244897959184	0.1503880167448962	4419076.488443623	3129797.7667101375	3129797.7667101375	-0.0001565786858175426	0.015805567519368232	0.12179996081548058	40867200.0	0.07	0.15785274921686285
Saltmarsh_1_000022033	158112000.0	1.484771871257712	0.07516668390234527	0.28416967866271986	0.5683393573254397	0.3717221698335616	0.7434443396671232	0.9850746268656716	0.20010783079898717	29382809.263067294	12116043.27199307	12116043.27199307	7.895976974326563e-05	0.06050125659022209	0.46690964333627183	39916800.0	0.07	0.6051148977638082
Saltmarsh_1_000022107	158112000.0	1.7255886739010318	1.5745334078158544	0.2350174157609709	0.4700348315219418	0.3008221503251835	0.601644300650367	0.7536231884057971	0.1644933311579128	15414885.506601943	6442957.18823865	6442957.18823865	-0.0006006833687207044	0.032815469309913955	0.25260509834357836	39571200.0	0.07	0.32737620745327756
Saltmarsh_1_000022396	158112000.0	0.7235059536118797	1.3479300726250536	0.2382091474126025	0.476418294825205	0.3061389511063523	0.6122779022127046	1.0	0.18093176358668817	20828511.716441665	7306704.888531246	7306704.888531246	0.002485179324941404	0.034048345117714825	0.2652038916529879	38016000.0	0.07	0.3437042435822723
